date,open,high,close,low,volume,amount
2015-05-27,30.01,30.01,28.4,28.28,18461342.0,525856832.0
2015-05-26,30.27,30.66,30.01,29.04,19821012.0,585157952.0
2015-05-25,29.64,30.66,30.27,28.43,15181952.0,447356960.0
2015-05-22,30.22,31.35,29.89,28.87,20938262.0,618973056.0
2015-05-21,27.82,28.55,28.55,26.81,12119011.0,338234464.0
2015-05-20,24.38,25.95,25.95,24.38,16414316.0,413613344.0
2015-05-19,23.96,23.97,23.59,22.73,8294573.0,192085984.0
2015-05-18,22.54,24.74,23.34,22.34,10988622.0,257614528.0
2015-05-15,22.61,22.77,22.54,21.82,11063716.0,245632720.0
2015-05-14,21.09,22.86,22.4,20.96,12607432.0,274148832.0
2015-05-13,21.46,21.46,21.02,20.94,7243660.0,151005584.0
2015-05-12,21.02,21.72,21.46,20.64,8317593.0,175704848.0
2015-05-11,20.55,21.09,20.82,20.39,7892074.0,161392384.0
2015-05-08,19.32,20.42,20.24,19.32,8924875.0,175414944.0
2015-05-07,19.79,19.83,19.03,18.81,6905138.0,130819352.0
2015-05-06,21.1,21.25,19.7,19.48,8592334.0,173421824.0
2015-05-05,22.67,22.74,20.96,20.57,8837898.0,188961712.0
2015-05-04,22.46,22.82,22.51,22.09,5827187.0,129260760.0
2015-04-30,22.46,23.07,22.75,22.46,9197528.0,207306448.0
2015-04-29,21.99,22.81,22.35,21.27,7658519.0,167875360.0
2015-04-28,23.2,23.37,22.01,21.72,11069853.0,245307696.0
2015-04-27,22.83,23.93,23.19,22.83,15932512.0,367554272.0
2015-04-24,22.08,22.08,21.75,21.25,9331218.0,199411408.0
2015-04-23,22.26,22.66,22.07,21.98,10314346.0,226308752.0
2015-04-22,22.16,22.56,22.08,21.83,14073885.0,307693024.0
2015-04-21,21.25,22.23,21.97,21.04,11102880.0,237086176.0
2015-04-20,21.96,23.05,21.52,20.48,18049012.0,388897408.0
2015-04-17,22.87,24.25,22.32,22.06,20677316.0,467118528.0
2015-04-16,24.92,25.51,23.24,22.2,22107032.0,515650336.0
2015-04-15,23.73,25.86,24.67,23.68,25031160.0,614089792.0
2015-04-14,21.7,23.51,23.51,21.7,15469343.0,354370944.0
2015-04-13,19.83,21.55,21.38,19.73,17182268.0,350003552.0
2015-04-10,19.78,20.12,19.66,19.43,11296215.0,220041840.0
2015-04-09,18.49,20.12,19.85,18.23,18311904.0,345145184.0
