165.47,96.18,-7.92,4.65,19.15,27.9,59.41,52.3,52.3,0.008841,-0.274424
171.37,100.26,51.59,4.68,19.17,27.72,60.5,59.54,59.54,0.008779,-0.469912
177,104.16,115.01,4.71,19.21,27.65,61.22,59.87,59.87,0.008722,-0.182473
168.45,96.22,61.01,4.74,19.23,27.47,61.14,58.67,58.67,0.00864,-0.164309
159.35,88.25,-5.86,4.77,19.25,27.17,60.63,54.84,54.84,0.008626,-0.082248
157.75,86.82,3.81,4.8,19.26,26.88,60.31,51.22,51.22,0.008675,-0.132468
160.21,88.86,58.86,4.82,19.28,26.69,60.51,53.94,53.94,0.008607,-0.319445
164.65,92.56,127.49,4.85,19.31,26.55,60.48,54.56,54.56,0.008588,-0.501459
160.27,89.11,105.02,4.88,19.33,26.39,60.36,54.47,54.47,0.008578,-0.415013
151.56,82.19,44.46,4.91,19.35,26.12,60.15,52.03,52.03,0.008595,-0.328737
150.34,81.49,57.52,4.94,19.36,25.86,60.77,52.19,52.19,0.008614,-0.446999
148.04,80,61.16,4.96,19.37,25.62,60.32,50.24,50.24,0.008584,-0.365097
141.23,74.83,23.23,4.99,19.38,25.29,60.41,48.12,48.12,0.008501,-0.18264
130.76,66.69,-56.1,5.01,19.35,24.64,58.66,49.92,49.92,0.008427,0.086913
122.76,60.58,-104.29,5.03,19.33,24.01,57.72,44.22,44.22,0.006514,0
135.43,72.05,42.42,5.05,19.32,23.68,58.25,54.53,54.53,0.009274,-0.396644
156.75,91.14,253.84,5.08,19.35,23.65,60.31,61.18,61.18,0.012271,-0.839916
151.62,87.52,219.63,5.11,19.37,23.64,61.45,57.45,57.45,0.014922,-0.578061
132.17,71.32,62.17,5.14,19.36,23.3,60.73,55.63,55.63,0.017431,-0.278209
130.55,70.64,65.99,5.16,19.36,22.97,60.76,56.29,56.29,0.02184,0
127.19,68.43,50.67,5.18,19.35,22.63,60.7,56.91,56.91,0.021568,0.17779
125.57,67.81,53.94,5.21,19.34,22.31,60.55,55.16,55.16,0.021079,0.15501
118.79,62.49,-5.04,5.23,19.31,21.81,60.68,53.47,53.47,0.02093,-0.237205
120.82,65.2,45.11,5.25,19.29,21.35,60.04,51.97,51.97,0.020965,-0.264381
117.58,63.12,29.96,5.27,19.27,20.91,59.95,50.14,50.14,0.020948,-0.346684
111.66,58.44,-17.18,5.29,19.23,20.4,59.71,47.76,47.76,0.020907,-0.310417
110.27,57.98,-8.79,5.3,19.2,19.91,59.93,49.28,49.28,0.020978,-0.460829
111.98,60.56,37.9,5.32,19.18,19.49,59.61,50,50,0.021079,-0.387597
99.06,48.64,-102.1,5.34,19.12,18.88,56.44,46.54,46.54,0.021038,-0.059418
77.41,27.14,-299.8,5.34,19.02,18.72,55.28,43.16,43.16,0.010543,0.776191
71.86,21.39,-300.7,5.34,18.92,18.62,55.39,46.35,46.35,0.006224,1.059439
76.33,26.32,-209.16,5.35,18.82,18.47,54.84,43.39,43.39,0.00178,0.70132
92.65,45.02,-54.26,5.36,18.76,17.86,55.37,47.62,47.62,-0.002087,0.51186
91.07,44.07,-51.94,5.37,18.7,17.28,54.96,47.85,47.85,-0.005888,0.420591
88.87,42.33,-57.39,5.38,18.63,16.75,55.02,48.9,48.9,0.000722,0.6631
84.06,37.25,-81.18,5.39,18.57,16.27,55.02,48.23,48.23,0.0011,0.626629
78.45,30.8,-104.66,5.4,18.49,15.89,54.37,45.71,45.71,0.00132,0.686719
73.91,25.22,-117.85,5.41,18.41,15.57,53.33,43.21,43.21,0.000729,0.499404
73.85,25.38,-101.87,5.41,18.33,15.27,53.49,44.39,44.39,0.000188,0.412163
72.81,24.11,-94.15,5.42,18.25,14.97,53.74,45.45,45.45,-0.00036,0.311498
71.22,21.89,-91.18,5.43,18.17,14.69,53.65,43.67,43.67,-0.000892,0.343627
